SL_40_65_79,Sound control space
SL_40_65_80,Sound lock
SL_40_65_85,Stage wing
SL_42_15_04,Artificial grass pitche
SL_42_15_17,Cricket field
SL_42_15_18,Cricket pitche
SL_42_15_32,Grass athletic area
SL_42_15_33,Grass pitche
SL_42_15_34,Grass tenni court
SL_42_15_36,Hard outdoor tenni court
SL_42_15_37,High jump area
SL_42_15_44,Javelin throwing area
SL_42_15_47,Long jump track and pit
SL_42_15_55,Multi-use game court
SL_42_15_59,Outdoor sport court
SL_42_15_60,Outdoor sport pitche and field
SL_42_15_65,Pole vaulting area
SL_42_15_72,Rounder field
SL_42_15_74,Running track
SL_42_15_78,Shot put and hammer throwing area
SL_42_40_09,Bouldering space
SL_42_40_14,Climbing wall space
SL_42_40_20,Cycle track
SL_42_40_23,Dojo
SL_42_40_30,Fitness room
SL_42_40_35,Gymnasium
SL_42_40_37,Gymnastic area
SL_42_40_42,Indoor sport court
SL_42_40_79,Snooker, billiard and pool hall
SL_42_40_82,Sport hall
SL_42_40_83,Squash court
SL_42_40_90,Ten pin bowling alley
SL_42_55_01,Archery range
SL_42_55_06,Ball-stop net area
SL_42_55_07,BMX cycling track
SL_42_55_08,Bowling green
SL_42_55_17,Cross-country cycling course
SL_42_55_18,Cross-country equestrian course
SL_42_55_19,Cross-country rallying course
SL_42_55_20,Cross-country running course
SL_42_55_21,Cycling trail
SL_42_55_23,Dog racing track
SL_42_55_26,Equestrian arena
SL_42_55_35,Golf fairway
SL_42_55_39,Horse racing course
SL_42_55_52,Mobility training trail
SL_42_55_53,Motor racing track
SL_42_55_56,Nature trail
SL_42_55_58,Outdoor climbing area
SL_42_55_60,Parkour course
SL_42_55_65,Putting green
SL_42_55_72,Road running course
SL_42_55_76,Skateboarding park
SL_42_55_82,Speedway track
SL_42_55_90,Trim trail
SL_42_55_96,Walking trail
SL_42_80_65,Press boxe
SL_42_80_88,Technical area and dugout
SL_42_85_23,Diving pool
SL_42_85_41,Indoor swimming pool
SL_42_85_59,Outdoor swimming pool
SL_42_85_64,Plunge pool
SL_42_85_80,Spa pool
SL_42_85_82,Splash pool
SL_42_85_94,Water flume, slide and tube
SL_42_85_97,Wave pool
SL_42_85_98,Whirlpool
SL_42_90_11,Canoe slalom course
SL_42_90_12,Canoe sprint course
SL_42_90_50,Motorboat course
SL_42_90_73,Rowing course
SL_42_90_75,Sailing course
SL_42_90_97,Water skiing course
SL_42_90_98,White water canoe course
SL_42_95_02,Alpine skiing course
SL_42_95_04,Artificial ski slope
SL_42_95_08,Bobsleigh course
SL_42_95_19,Cross-country skiing course
SL_42_95_20,Curling rink
SL_42_95_32,Freestyle skiing course
SL_42_95_40,Ice skating rink
SL_42_95_76,Short track speed skating track
SL_42_95_79,Ski jump
SL_42_95_80,Snowboarding course
SL_42_95_83,Speed skating course
SL_45_10_06,Balcony
SL_45_10_08,Bedroom-study
SL_45_10_09,Bedroom
SL_45_10_12,Caravan pitche
SL_45_10_14,Communal living room
SL_45_10_16,Concierge office
SL_45_10_18,Conservatory
SL_45_10_22,Domestic dining room
SL_45_10_23,Domestic kitchen
SL_45_10_24,Dormitory
SL_45_10_37,Hotel room
SL_45_10_44,Kitchen-dining room
SL_45_10_45,Kitchen-dining-living room
SL_45_10_49,Living room
SL_45_10_57,Nursing home bedroom
SL_45_10_60,Panic room
SL_45_10_78,Single-occupancy bedroom
SL_45_10_85,Study
SL_45_10_88,Tent pitche
SL_45_10_93,Utility room
SL_45_10_94,Veranda
SL_50_10_94,Waste ga storage space
SL_50_25_36,Grip inlet
SL_50_25_41,Inlet discharge
SL_50_25_59,Outlet discharge
SL_50_30_68,Pump-out station
SL_50_35_08,Bioretention basin
SL_50_35_60,Solid waste storage space
SL_50_40_24,Dry waste storage space
SL_50_40_72,Refuse storage space
SL_50_50_92,Waste ga treatment space
SL_50_60_94,Waste liquid treatment space
SL_50_60_95,Waste liquid storage space
SL_50_75_26,Effluent outfall
SL_50_75_28,Evaporation pond
SL_50_75_35,Wastewater grass plot
SL_50_75_71,Wastewater reed bed
SL_50_75_85,Stormwater overflow
SL_50_75_95,Wastewater wetland
SL_50_80_40,Dry waste treatment space
SL_50_80_70,Dry waste disposal space
SL_55_05_30,Ga extraction space
SL_55_05_70,Ga treatment space
SL_55_10_10,Oil extraction space
SL_55_10_50,Oil treatment space
SL_55_15_10,Water extraction space
SL_55_15_50,Water treatment space
SL_55_15_70,Raw water intake
SL_55_20_34,Ga storage space
SL_55_20_65,Service ga supply pipe
SL_55_30_80,Sprinkler tank enclosure
SL_55_50_32,Fuel storage area
SL_55_50_58,Oil storage space
SL_55_70_65,Private water supply pipe
SL_55_70_95,Water supply pedestal
SL_60_60_20,Cryogenic storage room
SL_60_60_29,Freezer room
